2026-04-30 11:42:42.438 SNAPSHOT inicial: 95 plugins habilitados
2026-04-30 11:42:42.486 PRESENT  id=com.intellij version=253.29346.138
2026-04-30 11:42:42.517 PRESENT  id=com.jetbrains.codeWithMe version=253.29346.138
2026-04-30 11:42:42.534 PRESENT  id=Docker version=253.29346.138
2026-04-30 11:42:42.557 PRESENT  id=XPathView version=253.29346.138
2026-04-30 11:42:42.572 PRESENT  id=com.jetbrains.remoteDevServer version=253.29346.138
2026-04-30 11:42:42.585 PRESENT  id=intellij.grid.plugin version=253.29346.138
2026-04-30 11:42:42.597 PRESENT  id=com.intellij.properties version=253.29346.138
2026-04-30 11:42:42.611 PRESENT  id=org.jetbrains.plugins.terminal version=253.29346.138
2026-04-30 11:42:42.625 PRESENT  id=org.intellij.plugins.markdown version=253.29346.138
2026-04-30 11:42:42.638 PRESENT  id=com.intellij.modules.json version=253.29346.138
2026-04-30 11:42:42.660 PRESENT  id=com.intellij.kubernetes version=253.29346.138
2026-04-30 11:42:42.673 PRESENT  id=org.jetbrains.plugins.textmate version=253.29346.138
2026-04-30 11:42:42.700 PRESENT  id=com.jetbrains.performancePlugin version=253.29346.138
2026-04-30 11:42:42.715 PRESENT  id=org.toml.lang version=253.29346.138
2026-04-30 11:42:42.739 PRESENT  id=org.intellij.qodana version=253.29346.138
2026-04-30 11:42:42.755 PRESENT  id=com.jetbrains.sh version=253.29346.138
2026-04-30 11:42:42.769 PRESENT  id=com.intellij.java version=253.29346.138
2026-04-30 11:42:42.790 PRESENT  id=com.android.tools.gradle.dcl version=253.29346.138
2026-04-30 11:42:42.804 PRESENT  id=com.intellij.dev version=253.29346.138
2026-04-30 11:42:42.829 PRESENT  id=com.intellij.database version=253.29346.138
2026-04-30 11:42:42.851 PRESENT  id=org.jetbrains.plugins.yaml version=253.29346.138
2026-04-30 11:42:42.879 PRESENT  id=com.intellij.debugger.collections.visualizer version=253.29346.138
2026-04-30 11:42:42.910 PRESENT  id=com.intellij.notebooks.core version=253.29346.138
2026-04-30 11:42:42.924 PRESENT  id=intellij.jupyter version=253.29346.138
2026-04-30 11:42:42.945 PRESENT  id=Git4Idea version=253.29346.138
2026-04-30 11:42:42.966 PRESENT  id=tanvd.grazi version=253.29346.138
2026-04-30 11:42:42.982 PRESENT  id=org.jetbrains.completion.full.line version=253.29346.138
2026-04-30 11:42:42.998 PRESENT  id=com.intellij.completion.ml.ranking version=253.29346.138
2026-04-30 11:42:43.013 PRESENT  id=com.intellij.copyright version=253.29346.138
2026-04-30 11:42:43.053 PRESENT  id=intellij.git.commit.modal version=253.29346.138
2026-04-30 11:42:43.074 PRESENT  id=hg4idea version=253.29346.138
2026-04-30 11:42:43.153 PRESENT  id=org.jetbrains.plugins.github version=253.29346.138
2026-04-30 11:42:43.171 PRESENT  id=org.jetbrains.plugins.gitlab version=253.29346.138
2026-04-30 11:42:43.196 PRESENT  id=com.intellij.settingsSync version=253.29346.138
2026-04-30 11:42:43.231 PRESENT  id=org.jetbrains.security.package-checker version=253.29346.138
2026-04-30 11:42:43.249 PRESENT  id=com.intellij.configurationScript version=253.29346.138
2026-04-30 11:42:43.264 PRESENT  id=com.intellij.jsonpath version=253.29346.138
2026-04-30 11:42:43.280 PRESENT  id=com.intellij.searcheverywhere.ml version=253.29346.138
2026-04-30 11:42:43.294 PRESENT  id=idea.plugin.protoeditor version=253.29346.138
2026-04-30 11:42:43.309 PRESENT  id=es.iesclaradelrey.controlex version=1.4.1
2026-04-30 11:42:43.323 PRESENT  id=com.intellij.spring version=253.29346.138
2026-04-30 11:42:43.370 PRESENT  id=com.intellij.plugins.eclipsekeymap version=253.29346.138
2026-04-30 11:42:43.387 PRESENT  id=com.intellij.plugins.visualstudiokeymap version=253.29346.138
2026-04-30 11:42:43.403 PRESENT  id=Key Promoter X version=2024.2.2
2026-04-30 11:42:43.417 PRESENT  id=com.jetbrains.station version=253.29346.138
2026-04-30 11:42:43.441 PRESENT  id=com.intellij.plugins.netbeanskeymap version=253.29346.138
2026-04-30 11:42:43.463 PRESENT  id=com.intellij.gradle version=253.29346.138
2026-04-30 11:42:43.486 PRESENT  id=com.intellij.ko version=253.29346.138
2026-04-30 11:42:43.504 PRESENT  id=com.intellij.zh version=253.29346.138
2026-04-30 11:42:43.521 PRESENT  id=org.editorconfig.editorconfigjetbrains version=253.29346.138
2026-04-30 11:42:43.536 PRESENT  id=manjaro.mpb version=1.9
2026-04-30 11:42:43.549 PRESENT  id=com.intellij.ja version=253.29346.138
2026-04-30 11:42:43.564 PRESENT  id=com.intellij.code.provenance version=253.29346.138
2026-04-30 11:42:43.578 PRESENT  id=Subversion version=253.29346.138
2026-04-30 11:42:43.592 PRESENT  id=training version=253.29346.138
2026-04-30 11:42:43.606 PRESENT  id=com.jetbrains.performancePlugin.async version=253.29346.138
2026-04-30 11:42:43.620 PRESENT  id=PerforceDirectPlugin version=253.29346.138
2026-04-30 11:42:43.633 PRESENT  id=com.intellij.mcpServer version=253.29346.138
2026-04-30 11:42:43.648 PRESENT  id=intellij.platform.ijent.impl version=253.29346.138
2026-04-30 11:42:43.663 PRESENT  id=com.intellij.microservices.ui version=253.29346.138
2026-04-30 11:42:43.678 PRESENT  id=com.jetbrains.restClient version=253.29346.138
2026-04-30 11:42:43.692 PRESENT  id=com.intellij.swagger version=253.29346.138
2026-04-30 11:42:43.706 PRESENT  id=com.intellij.platform.images version=253.29346.138
2026-04-30 11:42:43.719 PRESENT  id=HtmlTools version=253.29346.138
2026-04-30 11:42:43.733 PRESENT  id=org.jetbrains.idea.reposearch version=253.29346.138
2026-04-30 11:42:43.746 PRESENT  id=com.intellij.diagram version=253.29346.138
2026-04-30 11:42:43.761 PRESENT  id=JavaScriptDebugger version=253.29346.138
2026-04-30 11:42:43.775 PRESENT  id=com.intellij.compose version=253.29346.138
2026-04-30 11:42:43.790 PRESENT  id=org.jetbrains.kotlin version=253.29346.138-IJ
2026-04-30 11:42:43.804 PRESENT  id=org.jetbrains.plugins.kotlin.jupyter version=253.29346.138
2026-04-30 11:42:43.819 PRESENT  id=org.jetbrains.idea.gradle.dsl version=253.29346.138
2026-04-30 11:42:43.833 PRESENT  id=com.intellij.jpa.jpb.model version=253.29346.138
2026-04-30 11:42:43.847 PRESENT  id=intellij.ktor version=253.29346.138
2026-04-30 11:42:43.860 PRESENT  id=com.intellij.microservices.jvm version=253.29346.138
2026-04-30 11:42:43.877 PRESENT  id=com.intellij.spring.boot.initializr version=253.29346.138
2026-04-30 11:42:43.890 PRESENT  id=com.intellij.findusages.ml version=253.29346.138
2026-04-30 11:42:43.905 PRESENT  id=ByteCodeViewer version=253.29346.138
2026-04-30 11:42:43.919 PRESENT  id=com.intellij.javaee version=253.29346.138
2026-04-30 11:42:43.933 PRESENT  id=org.jetbrains.debugger.streams version=253.29346.138
2026-04-30 11:42:43.948 PRESENT  id=com.intellij.java.ide version=253.29346.138
2026-04-30 11:42:43.963 PRESENT  id=com.intellij.tasks version=253.29346.138
2026-04-30 11:42:43.978 PRESENT  id=intellij.indexing.shared.core version=253.29346.138
2026-04-30 11:42:43.992 PRESENT  id=com.intellij.java-i18n version=253.29346.138
2026-04-30 11:42:44.006 PRESENT  id=com.intellij.javaee.el version=253.29346.138
2026-04-30 11:42:44.020 PRESENT  id=com.intellij.thymeleaf version=253.29346.138
2026-04-30 11:42:44.036 PRESENT  id=JUnit version=253.29346.138
2026-04-30 11:42:44.050 PRESENT  id=org.intellij.groovy version=253.29346.138
2026-04-30 11:42:44.077 PRESENT  id=org.jetbrains.idea.maven version=253.29346.138
2026-04-30 11:42:44.091 PRESENT  id=TestNG-J version=253.29346.138
2026-04-30 11:42:44.106 PRESENT  id=Coverage version=253.29346.138
2026-04-30 11:42:44.127 PRESENT  id=org.jetbrains.plugins.gradle version=253.29346.138
2026-04-30 11:42:44.142 PRESENT  id=org.jetbrains.idea.eclipse version=253.29346.138
2026-04-30 11:42:44.157 PRESENT  id=org.jetbrains.java.decompiler version=253.29346.138
2026-04-30 11:42:44.172 PRESENT  id=Lombook Plugin version=253.29346.138
2026-04-30 11:42:44.186 PRESENT  id=izhangzhihao.rainbow.brackets version=2025.3.6
2026-04-30 11:42:44.220 [CONTROLEX] start  id=es.iesclaradelrey.controlex version=1.4.1
2026-04-30 13:46:17.376 [CONTROLEX] stop   id=es.iesclaradelrey.controlex version=1.4.1
